# 1990-11-05 TV Schedule for Първа програма
time	title
17:50	Новини
18:00	Детски свят: Легенда за златната река" - то новела (1 част). Из Рила" и .Кос- тенурките нинджа"
19:15	Тв справочник
19:25	"Звездни войни" - епизод от "Завоюването на Космоса"
19:50	Лека нощ, деца!: Вълкът Лупи
20:00	По света и у нас
20:30	Актуална антена
20:40	Разкази с неочакван край: Наддаването" - тв филм (Англия)
21:05	Стилове в американската музика: Всичко, от което се нуждаеш, е любов" (IX епизод)
21:55	Журнал лик
22:35	Новини Изберете
22:50	"Берлин - Александерплац" (Германия). VIII.
23:50	"Стена" танцова композиция по музика на Паул Хиндемит
00:05	Най-добрите британски филми: "Английските Джентълмени"
