# 2000-02-27 TV Schedule for Канал 1
time	title
07:15	Телепазарен прозорец
07:30	Чай
10:00	Македонският архиепископ Стефан пред Българската национална телевизия
10:30	Детски свят: "Бон-Бон" и "Неделно междучасие"
11:30	Един век песни: "По време на окупацията и след войната" /ІІ част/
12:30	По света и у нас
12:40	Бразди
13:10	Народно творчество: "Десислава и Валери Димчеви"
13:40	Палавници - тв игра
14:10	Супермотор спорт
14:40	Футбол плюс: "ЦСКА" - "Нефтохимик"/Бургас/, среща от първенството на "А"ПФГ - пряко предаване от стадион "Българска армия"
17:00	По света и у нас
17:10	Уолт Дисни представя...
18:00	Гласове
18:50	Теглене тиражите на ТОТО 2 и "Планета "Спорт"
19:50	Лека нощ, деца!: "Гугулиада" /7 приказка/
20:00	По света и у нас
20:30	Неделна киновечер: "Без следа" - игрален филм /Великобритания,1988г./, режисьор Том Еберхард, в ролите: Майкъл Кейн, Бен Кингсли и др.
22:15	Един ден на...
22:45	Сигналистика - музикален филм за група "Сигнал"
23:35	Магията на киното /3 епизод/
00:00	По света и у нас
00:15	Пиано бар
01:00	Вечерно куклено шоу
01:30	Небесни скитници - научнопопулярен филм
02:30	Видеоклипове на "ТОТО"
03:15	Кеприкорн едно - игрален филм /САЩ/
05:05	Видеоклипове на Мишел Жонас
05:45	Дързост и красота - сериен тв филм /150 епизод/
