# 1989-04-07 TV Schedule for Първа програма
time	title
10:00	По света и у нас
10:20	Тв справочник
10:30	Призраци отвъд - детски тв филм (II епизод)
11:00	БТ за Интервизия: Модерна керамика и социални пространства
11:30	Зъб за зъб - тв филм (ГДР, 1988), VII епизод
12:30	Днес
17:00	Днес
17:10	20 минути с... - музикално предаване с участието на Димитрий Маликов, Лайма Вайкуле, Алексей Глизин, Татяна Петрова и ансамбъл Арсенал
17:30	Призраци отвъд - детски тв филм (III епизод)
18:00	Литературен дневник
18:30	Наука, техника и технологии: Лизингът в служба на технологичното обновление на икономиката ни
19:00	Белият цвят на надеждата - предаване за Деня на здравния работник
19:30	Тв справочник
19:40	Телевизионен преглед "Детски екран" - Варна'89
19:50	Лека нощ, деца! - Зоопаркът в ремонт - анимационен филм
20:00	Време - информационна програма на централната съветска телевизия
20:40	Днес
21:00	Камбани на разсъмване - игрален филм (СССР, 1985г.) режисьор Аркадий Кордон в ролите Георги Тараторкин, Ирина Печорникова и др. първо излъчване
22:35	Изберете
22:40	Хора на път
22:50	С името на България: Люба Величкова
00:00	В края на деня
00:15	Формула 5 - младежко забавно предаване
