# 1989-04-07 TV Schedule for Втора програма
time	title
18:45	Музикална миниатюра: "Барем се ерген мамо находих" в изпълнение на Калинка Вълчева
18:50	Днес
19:00	Обущарят чичо Спас, магарето и Тошко - тв филм за деца и юноши (V епизод)
19:25	Тв дискотека с участието на Кичка Бодурова, Росица Ганева, Васил Петров, дует Каравел и др.
20:00	Загадката на мегалитите в България - трето предаване от цикъла "Спорно-безспорно"
20:20	Скок - документален филм на СТФ "Екран"
20:30	Култура
21:50	Днес
22:00	Море - тв журнал
22:30	Селският нотариус - четирисериен тв филм (Унгария) I епизод. режисьор Ева Журж, в ролите Андраш Козак, Пирошка Молнар, Габор Конц и др., първо излъчване
23:30	Републиканско първенство по баскетбол - репортаж
