# 2000-06-13 TV Schedule for Канал 1
time	title
06:30	Сутрешен блок
09:00	Дързост и красота - сериен тв филм /290 епизод/
09:45	Детски свят: Дневникът" и "Улица "Сезам"
11:15	Лесни отговори на трудни въпроси
11:30	Курс по немски език /4 урок/
12:00	Народно творчество: "Ах, този фолк!"
12:30	По света и у нас
12:40	Адрес 4000
13:10	Криминален отдел - сериен тв филм /2 епизод/
14:00	Духовни простори: "Българската възрожденска щампа"
14:30	Курс по немски език /5 урок/
15:00	По света и у нас
15:05	Дивият свят на Америка - научнопопулярен филм /23 епизод/
15:35	Внимание - деца!
16:00	Дързост и красота - сериен тв филм /292 епизод/
16:45	Съкровищата на света - документална поредица
17:00	По света и у нас
17:10	Детски свят: "Десети "Б" - тв филм /15 епизод/
17:40	Вкусно
18:00	За вас, потребители
18:30	Частен случай
18:35	Европейско първенство по футбол: Испания - Норвегия, пряко предаване от Ротердам /в паузата: Лека нощ, деца!: "Гугулиада"/
21:00	По света и у нас
21:30	Европейско първенство по футбол: Югославия - Словения, пряко предаване от Шарлероа
00:00	По света и у нас
00:15	Джазтайм
00:55	NBA - професионален баскетбол от САЩ
01:55	Убийство с музика - игрален филм /Франция/, режисьор Габриел Пелтие, в ролите: Жо Бокон, Серж Дюпир и др.
03:30	Адрес 4000
04:00	Джубокс
04:45	Дивият свят на Америка - научнопопулярен филм /23 епизод/
05:15	Видеоклипове на Джанет Джаксън
05:45	Доктор Куин - лечителката - /8 епизод/
