# 1996-04-01 TV Schedule for Ефир 2
time	title
18:00	Днес
18:05	Вероника - лицето на любовта - семеен филм, 57 епизод
18:50	Лунна светлина - балетна миниатюра по музиката на Клод Дебюси, с участието на Маша Илиева и Росен Иванов
19:00	ТВ виза: Ваканция в Израел
19:30	Днес
19:45	Частен случай
19:50	Планета
20:00	Как ще ги стигнем... с Тодор Колев - пряко от НДК
21:05	Калчомания
21:30	Позитив: Скитник между звездите
22:00	Днес +
22:30	Точно попадение
22:35	Таралеж
22:40	ТВ справочник
22:45	Трето полувреме
23:15	Изхвърлете мъртвото магаре - комедиен тв сериал, 5 епизод
23:40	Джаздиалози
