# 1996-04-01 TV Schedule for Канал 1
time	title
14:40	ТВ пазар
15:00	По света и у нас
15:10	Токата - балетна миниатюра
15:25	Андреа Селесте - тв филм (Аржентина), 47 епизод
16:20	Прелюдия - документален филм
16:55	ТВ пазар
17:00	По света и у нас
17:05	Ранен ТВ справочник
17:15	Детски свят
18:05	Очи в очи с животните: Дивото прасе
18:30	ТВ пазар
18:35	Планета Футбол
19:20	ТВ пазар
19:25	ТВ справочник
19:45	Лека нощ, деца!
20:00	По света и у нас
20:30	Спортни новини
20:35	Плюс - минус - повече за икономиката
20:45	Открито
21:05	Платено милосърдие - тв драма (България), режисьор Георги Дюлгеров
22:10	Часът на кучето - балетна постановка с участието на студио Арабеск
23:00	По света и у нас
23:10	Седмоднев
23:40	Разкази от криптата - сериен тв филм (САЩ), III епизод
00:00	ТВ пазар
