# 2000-05-18 TV Schedule for Ефир 2
time	title
17:00	Баскетбол /мъже/: Полуфинална среща от републиканското първенство - пряко предаване /в паузата: По света и у нас/
18:30	Риск печели, риск губи - шоу на Къци Вапцаров
19:00	Европейско първенство по бокс: Полуфинали /пряко предаване от Тампере/
21:00	Магията на киното /26 епизод/
21:30	Хората около нас - документален филм /ІІ част/
22:00	По света и у нас
22:10	Топспорт
22:15	NBA - баскетболно шоу на професионалистите
22:45	Горещият град - игрален филм /САЩ/, режисьор Лари Коен, в ролите: Фред Уилямсън, Джим Браун, Пол Уинфийлд и др.
00:20	Край на програмата
