# 2000-02-29 TV Schedule for Канал 1
time	title
06:30	Сутрешен блок
09:30	Страсти под слънцето - сериен тв филм /102 епизод/
10:20	Курс по немски език Контакт дойч" /9 урок/
10:50	Детски свят: "Грозното пате" - анимационен филм /21 и 22 епизод/
11:45	Американски пътешественик - документална поредица /3 епизод/
12:00	Народно творчество: "Ах, този фолк !"
12:30	По света и у нас
12:40	Човешка комедия - предаване за интересни съдби
13:00	Небесни скитници - научнопопулярен филм
14:00	Семеен портфейл - съвети за семейния бюджет
14:30	Портрети от Моята Британия"
15:00	По света и у нас
15:05	Хилядолетие днес
15:15	Албум за пиано
15:30	Внимание, деца /за вас, родители/
16:05	Страсти под слънцето - сериен тв филм /109 епизод/
17:00	По света и у нас
17:10	Детски свят: "Сандокан - малайският тигър" - анимационен филм /18 епизод/
17:40	Вкусно
17:55	Гол плюс
18:00	За вас, потребители
18:30	Здраве
19:00	Частен случай
19:05	Американски пътешественик - документална поредица /9 епизод/
19:20	Големите игри - сериен тв филм /9 епизод/
19:50	Лека нощ, деца!: "Гугулиада" /9 приказка/
20:00	По света и у нас
20:30	Последен ход - сериен тв филм /3 епизод/
21:20	Всички обичат Реймънд - сериен тв филм /21 епизод/
21:50	Европейците, хора като нас
22:00	Екип 4
22:30	Кръгове
23:00	Поп и рок BG
23:30	Мълчалив свидетел - сериен тв филм /12 епизод/
00:20	По света и у нас
00:30	"Телепазарен прозорец"
00:45	Шампионска лига: репортажи
01:30	Щрих: "Пролет"
02:00	Интеграл: видеоклипове на Марк Лавоан /І част/
02:30	Отвъдморски легенди - научнопопулярен филм /7 епизод/
03:00	Край на програмата
