# 1998-11-27 TV Schedule for Ефир 2
time	title
17:30	Празничен календар: "Преподобни Теодосий Търновски"
17:35	Сладката Канди - детски анимационен филм, 48 епизод
18:00	Днес
18:05	Изгубена градина. Животът и филмите на Алис Ги Блаше - документален филм
19:00	Кой, къде, какво
19:15	Ауфтакт
19:30	Риск печели, риск губи
19:55	Гол плюс
20:00	Спрайт - екстремни спортове
20:30	Бис: "Рамбо - първа кръв" - игрален филм /САЩ, 1985 г./, II филм
22:00	Днес
22:10	Топспорт
22:15	Частен случай
22:20	ТВ справочник 2
22:30	Великата илюзия: "Глутница кучета" - игрален филм /САЩ, 1992 г./
