# 1996-04-19 TV Schedule for Канал 1
time	title
07:30	Добро утро, София
08:00	Бизнесзакуска
08:30	По света и у нас
08:35	Добър ден, България
10:00	По света и у нас
10:05	Добър ден, България
11:00	Парламентарен контрол - пряко предаване от Народното събрание
14:00	ТВ пазар
14:15	Ответен удар (ХVI епизод)
15:00	По света и у нас
15:10	Училище за манекени (29 епизод)
15:35	Приключения, пътешествия, архиви (VII епизод)
16:05	Андреа Селесте (41 епизод)
16:55	ТВ пазар
17:00	По света и у нас
17:05	Ранен ТВ справочник
17:15	ТВ пазар
17:30	Детски свят
18:20	Часът на Уорнър
19:20	ТВ пазар
19:25	ТВ справочник
19:45	Лека нощ, деца!
20:00	По света и у нас
20:30	Спортни новини
20:35	Плюс-минус
21:05	Изоставената жена - игрален филм (Франция)
22:35	Кръстопътища
22:45	Гол след гол
23:00	По света и у нас
23:10	Петък 13
23:25	Какаду - игрален филм (Русия)
