# 1998-12-25 TV Schedule for Ефир 2
time	title
16:30	Празничен календар: Рождество Христово
16:35	Празничен сън (II ч.)
17:10	Концерт на хора на софийските момчета, диригент Адриана Благоева
18:10	Риск печели, риск губи - шоу на Къци Вапцаров
19:10	Като лъвовете - празнично детско тв шоу (II част)
20:00	Фестивал на коледната песен
21:00	24 карата - моден магазин
21:30	Коледни тромбони - музикална програма с участието на Академичния тромбонон оркестър
22:00	Днес
22:15	Великата илюзия: "Как да се омъжиш за милионер" - комедия (САЩ, 1953 г.), режисьор Жан Негулеско, в ролите: Мерлин Монро, Лоран Бакол, Бети Грейбъл, Уилям Пуъл и др.
23:50 Ю Ту на живо от Мексико
