# 1999-09-17 TV Schedule for Ефир 2
time	title
17:30	Празничен календар: Мъченици София, Вяра, Надежда, Любов
17:35	Сладката Канди - 6 еп.
18:00	Днес
18:10	Каменни щитове-док.филм /България/
18:30	Риск печели, риск губи
19:00	Празничен концерт на Софииската филхармония по случай деня на София-пряко предаване от зала България
19:55	Гол плюс
20:00	Малък сезон - филм за Лятната академия на театралната работилница Сфумато
20:30	Открито с Валя Ахчиева
21:30	24 карата
22:00	Днес +
22:25	Топспорт
22:30	Частен случай
22:35	ТВ справочник 2
22:45	Международен театрален фестивал Сцена на кръстопът - Пловдив ’98 /дневник/
23:00	Господин Профит-9 еп. /последен/
23:45	Не мога без теб - музикален филм с участието на дует Шик
