# 2000-08-23 TV Schedule for Канал 1
time	title
06:30	Сутрешен блок
09:00	На границите на възможното - тв филм /35 епизод/
09:30	Детски свят: "Войната на зверовете" /5 епизод/, "Чупии Дуду" /56 епизод/ - анимационни филми и "Опасният залив" - тв филм /21 епизод/
10:25	Пътешествия: Израел
11:10	Щефани, ангел хранител - тв филм /17 епизод/
12:00	Международен фолклорен фестивал-Велико Търново 2000
12:30	По света и у нас
12:40	За вас, потребители
13:10	В.И.П.- тв филм /17 епизод/
14:00	Третият сектор: Пари за…
14:30	Дебюти
15:00	Пътешествие с Шекспир /4 епизод/
16:00	Детски свят: "Огледалната стая" и "Войната на зверовете" - анимационен филм /8 епизод/
16:50	Рожен 2000: Картини и гласове от България
17:00	По света и у нас
17:10	Вкусно
17:20	Дързост и красота - тв филм /338 епизод/
18:05	Сабрина - младата вещица - тв филм /17 епизод/
18:30	Милосърдие - документален филм
19:00	Щефани, ангел хранител - тв филм /18 епизод/
19:50	Лека нощ, деца!: "Кайо"/37 еп./
20:00	По света и у нас
20:26	Спорт
20:30	В.И.П. - тв филм /18 епизод/
21:20	Далекоглед
21:25	Рожен 2000: Картини и гласове от България
21:35	Кръгове
22:05	Сираци- документален филм на Николай Волев
22:50	Рожен 2000: Картини и гласове от България
23:00	По света и у нас
23:10	Спорт
23:15	Ловецът на елени -игрален филм /САЩ/, 2 част
00:45	Техно
01:15	Жътвите на океана - игрален филм /Франция/, 4 последен епизод
03:00	Моден свят
03:30	Страсти под слънцето - тв филм /24 епизод/
04:20	Видеоклипове на Даяна Рос
04:50	На границите на възможното - тв филм /35 епизод/
05:15	Третият сектор:" Пари за…"
05:45	Дързост и красота - тв филм /337 епизод/
