# 1996-02-01 TV Schedule for Канал 1
time	title
08:00	Бизнесзакуска
08:30	По света и у нас
08:35	Добър ден, България
10:00	По света и у нас
10:05	Добър ден, България
11:00	Детски свят: Делфи и неговите приятели - анимационен филм /ХVII еп./
11:25	Световно първенство по биатлон /10 км - мъже, отборно/, пряко предаване от Руполдинг /Германия/
12:45	По света и у нас
12:55	Кво вадис - 6-сериен тв филм  /Италия/, VI еп.
14:00	Световно първенство по биатлон /7.5 км - жени, отборно/, пряко предаване от Руполдинг /Германия/
15:15	По света и у нас
15:25	Тв пазар
15:40	Неизчезващите - трети филм от поредицата Дом за нашите деца /България/, II серия
17:00	По света и у нас
17:05	Детски свят: Тайнствените златни градове /ХХI еп./, Делфи и неговите приятели /ХIХ еп./, Вълшебната топка /ХХ еп./, анимационни филми и Катс и кучето - тв филм /IV еп./
18:30	Поглед върху природата - научнопопулярен филм /30 еп./
18:55	Писма за Надежда
19:20	Тв пазар
19:25	Тв справочник
19:45	Лека нощ, деца!
20:00	По света и у нас
20:30	Спортни новини
20:35	Плюс - минус - повече за икономиката
20:45	Отзвук
21:05	Хайде - предаване за масовата приватизация
21:15	Футбол: Реал /Сарагоса/ - Аякс /Амстердам/ В паузата: Тв справочник
23:15	По света и у нас
23:25	Червената катеричка - игрален филм /Испания/
