# 1979-01-02 TV Schedule for Първа програма
time	title
17:10	Програма за детските градини
17:30	Новини
17:40	"Садко богаташ" детски анимационен филм
18:00	"Средиземно море познато и непознато" (ХІІ епизод)
18:25	"За профсъюзитe" документален филм
18:55	"Ха кажете, дружина - да бъде!" - фолклорно предаване,
19:15	"Махалата" Документален филм
19:40	Актуална тема
19:50	Лека нощ, деца!
20:00	По света и у нас
20:30	Рецитал на Андреас Холм забавна програма
21:10	Обратна връзка публицистично предаванe
21:50	"Музикални профили": "Н. а. Илка Попова",
22:25	Галерия "ЛИК": 30 години Национална художествена галерия
22:45	Новини
