# 2000-08-27 TV Schedule for Канал 1
time	title
07:30	Детски свят: "Войната на зверовете"- анимационен филм /9 епизод/
08:00	Чай
10:00	Детски свят: "Бон-Бон", "Мама е невъзможна" - тв филм /7 епизод/ и "Чупи и Дуду" - анимационен филм /60 епизод/
11:05	Неделно здраве
11:15	Обеден концерт: Интегрално изпълнение на квартетите на Бетовен - опус 132 и 135
12:30	По света и у нас
12:40	Бразди
13:10	Международен фолклорен фестивал - Велико Търново
13:40	Български светини зад граница: "Откраднатият храм"
14:20	Минута е много- тв състезание
14:50	Сезоните на един актьор - филм за Михаил Михайлов
15:25	Големите писатели на ХХ век: Олдъс Хъксли
16:15	VІІІ национален фестивал на ромската музика, песни и танци - Стара Загора 2000
17:00	По света и у нас
17:10	Уолт Дисни представя...
18:00	Теглене тиражите на ТОТО 2 и Планета "Спорт"
18:55	Концерт на Роберта
19:50	Лека нощ, деца!: "Банани с пижами" /87 епизод/
20:00	По света и у нас
20:20	Спорт
20:30	Общобългарски събор "Рожен 2000" - пряко предаване на заключителния спектакъл от Смолян
22:00	По света и у нас
22:10	Спорт
22:15	Дерби от Европа
23:55	Мода за всички
00:25	Луда ревност - игрален филм /САЩ/, 2 част
01:55	Джазтайм
02:35	Странната история на Олга О - игрален филм /Италия, 1995 г./, режисьор Антонио Бонифачо, в ролите: Серена Гранди, Стефане Ферара, Даниела Поджи, Дейвид Брандън и др.
04:05	Страсти под слънцето - сериен тв филм /28 епизод/
05:00	Луда ревност - игрален филм /САЩ/, 2 част
