# 2000-08-26 TV Schedule for Канал 1
time	title
07:20	Детски свят: "Войната на зверовете" - анимационен филм /8 епизод/
07:50	Силни тела
08:00	Добро утро
10:00	Детски свят: "Палавници" - тв игра
10:30	Общобългарски събор "Рожен 2000" - пряко предаване на откриването
11:00	За животните с любов
11:30	Краковски легенди
11:40	Варненско лято: Хоров концерт, посветен на 125 годишнината от рождението на Добри Христов
12:30	По света и у нас
12:40	Народно творчество: "Бяла Калина"
13:00	Портрети: проф. Георги Бакалов
13:30	Супермотор спорт
14:10	Битка за животните - научнопопулярен филм /10 епизод/
14:40	Мрежата
15:10	Салон на книгата
15:40	Волга, Волга - игрален филм /Русия/, режисьор Григорий Александров, в ролите: Любов Орлова, Игор Илински и др.
17:00	По света и у нас
17:10	Чудният свят на Дисни: "Криминалето на г-жа Мърфи" - игрален филм /1 част/
18:00	Ретро мело/тв/мания
18:30	Игри на съдбата - тв игра
19:00	"Аз съм такава, каквато съм" /Жулиет Греко/
19:50	Лека нощ, деца!: "Банани с пижами" /86 епизод/
20:00	По света и у нас
20:20	Спорт
20:30	Общобългарски събор "Рожен 2000" /репортаж/
21:00	Кинопарад: "Подводница "Стелт" - игрален филм /САЩ/, режисьор Марк Травис, в ролите: Бил Пулман, Уенди Шаал, Нед Бийти, Крис Деметъл и др.
22:35	Клуб "НЛО"
23:25	По света и у нас
23:35	Спорт
23:40	Форте: България Топ 20
00:25	Луда ревност - игрален филм /САЩ/, 1 част, режисьор Джон Патерсън, в ролите: Ан Маргарет, Питър Койот, Лесли Хоуп, Крисчън Кембъл и др.
01:55	Видеоклипове на AC/DC
02:30	Волга, Волга - игрален филм /Русия/
03:40	Видеоклипове на Род Стюарт
04:40	Страсти под слънцето - сериен тв филм /27 епизод/
05:30	Битка за животните- научнопопулярен филм /10 епизод/ 6.00 -"Луда ревност"- игрален филм/САЩ/, 1 част
