# 2000-03-03 TV Schedule for Ефир 2
time	title
17:55	По света и у нас
18:05	Грозното пате - анимационен филм /41 епизод/
18:30	Риск печели, риск губи - шоу на Къци Вапцаров
19:00	Дързост и красота - сериен тв филм /230 епизод/
19:45	Стефан Дичев на 80 години
20:35	Незабравими музикални вечери: Концерт на Анна Томова-Синтова
21:35	Отвъдморски легенди - научнопопулярен филм /10 епизод/
22:00	По света и у нас
22:10	Топспорт
22:15	Опасно ченге - игрален филм /САЩ/, режисьор Харви Кахн, в ролите: Алекс Макартър, Тери Куийн, Дейл Миткиф и др.
23:45	Интеграл: видеоклипове на Тонтон Давид
00:15	Край на програмата
