# 2000-06-15 TV Schedule for Канал 1
time	title
06:30	Сутрешен блок
09:00	Дързост и красота - сериен тв филм /292 епизод/
09:45	Детски свят: "Огледалната стая", "Квазимодо" - анимационен филм /3 епизод/ и "Щастието на живота" /17 епизод/
10:45	Райска градина
11:15	Зад оградата - сериен тв филм /44 епизод/
12:00	Народно творчество: "Лутурки"
12:30	По света и у нас
12:40	Човешка комедия
13:10	Спешно отделение - сериен тв филм /38 епизод/
14:00	Семеен портфейл
14:30	Екокамера
15:00	По света и у нас
15:05	Дивият свят на Америка - научнопопулярен филм /25 епизод/
15:35	Кратка история на бъдещето
15:55	Векът на България: 1938
16:00	Дързост и красота - сериен тв филм /294 епизод/
17:00	По света и у нас
17:10	Детски свят: "Десети "Б" - тв филм /16 епизод/
17:40	Вкусно
18:00	Теглене тиражите на ТОТО 2
18:25	Частен случай
18:30	Здраве
19:00	Седмица
19:50	Лека нощ, деца!: "Гугулиада"
20:00	По света и у нас
20:35	Спешно отделение - сериен тв филм /39 епизод/
21:30	Европейско първенство по футбол: Швеция - Турция, пряко предаване от Айндховен
00:00	По света и у нас
00:15	1002 нощи
01:15	NBA - баскетболно шоу на професионалистите
01:45	Хищна птица - игрален филм /САЩ/, режисьор Темистъклис Лопес, в ролите: Дженифър Тили, Боян Милушев, Ричард Чембърлейн, Робърт Каради, Лезли Ан Уорън и др.
03:25	Кратка история на бъдещето
03:45	Видеоклипове на група "Корс"
04:10	Човешка комедия
04:40	Дивият свят на Америка - научнопопулярен филм /25 епизод/
05:10	Видеоклипове на "Аеросмит"
05:45	Доктор Куин - лечителката - сериен тв филм /10 епизод/
