# 2000-05-12 TV Schedule for Ефир 2
time	title
17:55	По света и у нас
18:05	Квазимодо - анимационен филм /8 епизод/
18:30	Риск печели, риск губи- шоу на Къци Вапцаров
19:00	Съкровищата на света - документална поредица
19:15	Дързост и красота - сериен тв филм /274 епизод/
20:00	Магията на киното /19 епизод/
20:30	Слънце в косите - музикален филм за Светлозара Славкова
21:10	Мечката и нейните братя - научнопопулярен филм
22:00	По света и у нас
22:10	Топспорт
22:15	Циганска душа - игрален филм /Испания/, режи- сьор Чус Гутиерес, в ролите: Амара Кармона, Педро Алонсо, Лолес Леон и др.
