# 2000-06-11 TV Schedule for Канал 1
time	title
07:15	Телепазарен прозорец
07:30	Детски свят: "Големият лов на Нанук" - анимационен филм /25 последен епизод/
08:00	Чай
10:30	Детски свят: "Спукано гърне" и "Неделно междучасие"
11:30	Неделно здраве
11:40	Обеден концерт: "Софийски музикални седмици" и "Салон на изкуствата" /сборна програма/
12:30	По света и у нас
12:40	Бразди
13:10	Народно творчество: "Фолклорна дъга"
13:40	В начало беше Словото
14:10	Големите писатели на ХХ век: Джеймс Джойс
15:00	Съкровищата на света
15:15	Европейско първенство по футбол: Турция - Италия пряко предаване от Арнхайм /в паузата: По света и у нас/
17:30	Гласове
18:30	Теглене тиражите на ТОТО 2
18:45	Европейско първенство по футбол: Франция - Дания пряко предаване от Брюж /в паузата: "Лека нощ, деца!: "Коки" /14 епизод/
21:00	По света и у нас
21:30	Европейско първенство по футбол: Холандия - Чехия пряко предаване от Амстердам
00:00	По света и у нас
00:15	Моден свят
00:45	Жената от влака - игрален филм /Италия/, 2 част
02:25	NBA - професионален баскетбол от САЩ
03:25	Мюсюлманин - игрален филм /Русия/, режисьор Владимир Хотиненко, в ролите: Евгений Миронов, Нина Усатова, Александър Балуев и др.
05:15	Видеоклипове на Аксел Ред
05:45	Доктор Куин - лечителката - сериен тв филм /7 епизод/
