# 2000-12-10 TV Schedule for Канал 1
time	title
07:30	Детски свят: "Сандокан - малайският тигър" - анимационен филм /16 епизод/
08:00	Чай
10:30	Детски свят: "Спукано гърне" и "Неделно междучасие"
11:30	Неделно здраве
11:40	Обеден концерт: 40 години Средно музикално училище "Панайот Пипков" - Плевен
12:30	По света и у нас
12:40	Бразди
13:10	Минаха години
13:40	В акция
13:55	NBA - професионален баскетбол от САЩ
14:50	Дай ми малко истина - филм за Джон Ленън и Йоко Оно
15:45	Царете на купона
16:15	Утре - концерт-спектакъл
17:00	По света и у нас
17:10	Уолт Дисни представя...
18:00	Теглене тиражите на ТОТО 2 и Планета спорт
19:00	Гласове
19:50	Лека нощ, деца!: "Пъргавелчетата във ваканция"
20:00	По света и у нас
20:30	Неделна киновечер: "Код "Счупена стрела" - игрален филм /САЩ, 1996 г./, режисьор Джон Ву, в ролите: Джон Траволта, Крисчън Слейтър, Саманта Матис и др.
22:20	ТОТР - британска музикална класация
22:50	Дерби от Европа /в паузата: По света и у нас/
00:45	Моден свят
01:15	Наемникът - игрален филм /САЩ, 1996 г./, 2 част
02:45	88 клавиша
03:25	Код Счупена стрела" - игрален филм /САЩ, 1996 г./
05:20	В акция
05:35	Видеоклипове
05:45	Дързост и красота - тв филм /409 епизод/
