# 1991-04-16 TV Schedule for Първа програма
time	title
08:00	"Добър ви ден!" информационно-музикално предаване
10:00	Детски свят: "Жив приятел" и .Були" анима-ционни филми
10:15	"Хотел "Рай" тв филм (Германия, 1990 г.), IX и X епизод
12:00	Вести
18:00	Вести
18:10	Детски свят: "Звънче" и "Костенурките нинджа" анимационен филм (Х епизод)
19:20	"Марк и Софи" тв филм (Франция), XI епизод
19:40	Тв справочник
19:50	Лека нощ, деца!: "Слънчевото момиче и Дъждовното момче" анимационен филм (IX епизод)
20:00	По света и у нас
20:30	Отзвук
20:40	"Хотел Рай" 14-сериен тв филм (Германия, 1990 г.). XI епизод, първо излъчване
21:30	Oткрито студио
22:30	"Поп рок шоу"
23:00	"23 часа" Изберете
