# 2000-05-11 TV Schedule for Канал 1
time	title
06:30	Сутрешен блок
09:00	Национален календар: "Св. Св. Кирил и Методий"
09:05	Отдаденост - сериен тв филм /15 епизод/
10:00	Детски свят: "Защо" и "Щастието на живота" /7 епизод/
10:35	Райска градина - предаване за личното стопанство
11:05	Зад оградата - сериен тв филм /35 епизод/
12:00	Народно творчество: "Великденско добруджанско надсвир- ване"
12:30	По света и у нас
12:40	Човешка комедия - предаване за интересни съдби
13:10	Спешно отделение - сериен тв филм /25 епизод/
14:00	Третият сектор: Мисията възможна
14:30	Екокамера
15:00	По света и у нас
15:05	Светът на чудесата - документална поредица
15:35	Из залите на Националния исторически музей
15:50	Векът на България: 1933
16:05	Отдаденост- сериен тв филм /17 епизод/
17:00	По света и у нас
17:10	Детски свят: "Десети "Б" - тв филм /12 епизод/
17:40	Вкусно
17:55	Частен случай
18:00	Теглене тиражите на ТОТО 2
18:25	Национален календар: "Св. Св. Кирил и Методий"
18:30	Здраве
19:00	Седмица
19:50	Лека нощ, деца!: "Гугулиада"
20:00	По света и у нас
20:35	Спешно отделение - сериен тв филм /27 епизод/
21:20	24 квадрата - информационно киношоу
22:00	Екип 4
22:30	Духовна радост - филм за националното честване на 2000 години от Рождество Христово, 130 години от възстановяване на независимостта на Българската църква и гостуването на Чудотворната Йерусалимска икона на Света Богородица у нас
23:00	Идеалната двойка - игрален филм /Русия, 1992 г./, режисьор Александър Полинников, в ролите: Ана Назарьова, Юрий Дуванов, Ана Самохина и др.
00:05	По света и у нас
00:20	1002 нощи
01:20	Видеоклипове на Джими Клиф
01:50	Дивият свят на Америка- научнопопулярен филм /7 епизод/
02:20	Видеоклипове на Рита Митсуко
03:10	Свидетел - игрален филм /Италия/
04:40	Светът на чудесата - документална поредица
05:05	Видеоклипове на Ален Башунг
05:45	Дързост и красота - сериен тв филм /200 епизод/
