# 1998-11-26 TV Schedule for Ефир 2
time	title
17:30	Сладката Канди - детски анимационен филм, 47 епизод
18:00	Днес
18:05	Спасители на плажа - тв сериал, 47 епизод
19:00	Салон на книгата
19:30	Риск печели, риск губи
19:55	Гол плюс
20:00	Щрих: "Луксозната страст - отглеждане на хановерска порода коне"
20:30	Открито с Валя Ахчиева
21:30	24 карата - моден магазин
22:00	Днес
22:10	Топспорт
22:15	Частен случай
22:20	ТВ справочник 2
22:30	Плътта на дявола - тв сериен филм, 8 епизод /Италия/
23:30	Симфония - 5 от Лудвиг ван Бетовен, изпълнява Софийска филхармония с диригент Емил Табаков
