channel,date,time,name
"Втора програма",1983-07-25,21:00,"Здраве: ""Съвременната наука за шишковците"""
"Втора програма",1983-07-25,21:15,"Народни ритми: ""И ca дружки живували"""
"Втора програма",1983-07-25,21:25,"Времена и хора: ""Цветя на Черенец"""
"Втора програма",1983-07-25,21:50,Днес
"Втора програма",1983-07-25,22:00,"Студио Х: ""Третият поканен"" швейцарски игрален филм (IV серия)"
"Първа програма",1983-07-25,17:30,"Новини,"
"Първа програма",1983-07-25,17:40,"Писма на зрители"
"Първа програма",1983-07-25,18:10,Воин
"Първа програма",1983-07-25,18:40,"Спартакиада на народите на СССР - репортаж"
"Първа програма",1983-07-25,19:15,"Студио ""Пионер"""
"Първа програма",1983-07-25,19:50,"Лека нощ, деца!"
"Първа програма",1983-07-25,20:00,"По света и у нас"
"Първа програма",1983-07-25,20:25,"Хора на път"
"Първа програма",1983-07-25,20:30,"Телевизионен театър ""Соло за биещ часовник"" от О. Захрадник"
"Първа програма",1983-07-25,21:55,"Лик: ""Мексиканска графика"""
"Първа програма",1983-07-25,22:25,"В края на деня"
"Първа програма",1983-12-31,10:00,Новини
"Първа програма",1983-12-31,10:10,"Дядомразиада - детски новогодишен спектакъл"
"Първа програма",1983-12-31,11:30,"Топло - българска кинокомедия. В ролите Татяна Лолова, Стефан Данаилов, Константин Коцев, Георги Парцалев, Георги Черкелов, Тодор Колев. Сценарист и режисьор Владимир Янчев"
"Първа програма",1983-12-31,13:05,"Информационен дневник"
"Първа програма",1983-12-31,17:05,"Любими певици и свирачи - форлклорна програма с участието на Надка Караджова, Верка Сидерова, Константин Варимезов"
"Първа програма",1983-12-31,17:30,Новини
"Първа програма",1983-12-31,17:40,"Слово на извънредния и пълномощен посланник на Куба у нас по случай националния празник на страната"
"Първа програма",1983-12-31,18:00,"Програма за децата: Студио X за малките зрители: Ланс Линк - тайният агент"
"Първа програма",1983-12-31,18:20,"Анимация за деца: Мики Маус, Приказка за трите патета, Пепеляшка, Свинарят, Кой вижда по-далеч"
"Първа програма",1983-12-31,19:15,"Зимна приказка - балет по музика на П.И. Чайковски"
"Първа програма",1983-12-31,19:50,"Информационно публицистична програма"
"Първа програма",1983-12-31,20:50,"Любовни трепети - дуети на опери от Доницети и Верди в изпълнение на млади български певци"
"Първа програма",1983-12-31,21:20,"Съзвездие'83 - съвместна продукция на Българската телевизия, Българското радио и Народния дворец на културата ""Людмила Живкова"""
"Първа програма",1983-12-31,22:10,"Празничен репортаж"
"Първа програма",1983-12-31,22:20,"Съзвездие'83 (II част)"
"Първа програма",1983-12-31,23:20,"Празничен репортаж"
"Първа програма",1983-12-31,23:30,"Народни хора"
"Първа програма",1983-12-31,23:50,"Приветствие на генералния секретар на ЦК на БКП и председател на Държавния съвет на НРБ Тодор Живков към българския народ"
"Първа програма",1983-12-31,00:05,"Жива здрава годинчице"
"Първа програма",1983-12-31,00:15,"Приветствие на централната съветска телевизия"
"Първа програма",1983-12-31,00:30,"Танц експрес '84 - дископрограма"
"Първа програма",1983-12-31,03:00,"Край на програмата"
"Първа програма",1984-12-31,10:00,Новини
