# 2000-11-19 TV Schedule for Канал 1
time	title
07:30	Детски свят: "Сандокан - малайският тигър" - анимационен филм /13 епизод/
07:55	Национален календар: "115 години от Сръбско-Българската война"
08:00	Чай
10:30	Детски свят: "Бон-Бон" и "Неделно междучасие"
11:25	Неделно здраве
11:35	Обеден концерт: Концерт на Софийската филхармония, в програмата: Увертюра "Оберон" от Карл Мария фон Вебер и Концерт за пиано №2, оп. 83 от Йоханес Брамс; солистка Есуко Терада - Япония, диригент Емил Табаков
12:30	По света и у нас
12:40	Бразди
13:10	Фестивал на старата градска песен в Петрич /РТВЦ - Благоевград/
13:40	В акция
13:55	NBA - професионален баскетбол от САЩ
14:55	Великите готвачи
15:25	Скрита камера
15:45	Контролен пункт Косово - тв филм
16:10	Уолт Дисни представя...
17:00	По света и у нас
17:15	Висша футболна лига: "Нефтохимик" - "Черноморец", пряко предаване от Бургас /в паузата: Теглене тиражите на ТОТО 2/
19:15	Гласове
20:00	По света и у нас
20:30	Неделна киновечер: "Пътешествията на Гъливер" - двусериен игрален филм /Великобритания/, 1 епизод, режисьор Чарлс Старидж, в ролите: Тед Дансън, Мери Стийнбъргън, Джеймс Фокс и др.
22:00	Експо 2000 - ражда се нов свят
22:25	ТОТР - британска музикална класация
22:55	Дерби от Европа
00:35	По света и у нас
00:50	Мода за всички
01:20	Две луни - игрален филм /Полша, 1966 г./, режисьор Анджей Барански, в ролите: Божена Адамек, Беата Тишкевич, Артур Барчис и др.
03:35	Клубно парти с "Бейби Фейс Клан"
04:15	Страсти под слънцето - тв филм /93 епизод/
05:05	Видеоклипове
05:20	В акция
05:35	Видеоклипове на Жан-Жак Голдман
