# 2000-11-18 TV Schedule for Канал 1
time	title
07:15	Телепазарен прозорец
07:30	Специализирано предаване за хора с увреден слух
07:50	Силни тела
08:00	Добро утро!
10:30	Детски свят: "Палавници" - тв игра
11:00	За животните с любов
11:30	III Международен фестивал на прическата и красотата
12:00	Милано - флирт с модата
12:30	По света и у нас
12:40	Райска градина - предаване за личното стопанство
13:10	Минута е много - тв състезание
13:40	Супермотор спорт
14:20	Клиника на третия етаж - тв филм /6 епизод/
14:55	Фотоматон
15:25	Атлас: "Експедиция Антарктида - 2000"
15:50	Салон на книгата
16:15	Суматоха
17:00	По света и у нас
17:10	Чудният свят на Дисни: "Скъпа, смалих децата" - игрален филм /50 епизод/
18:00	Мело тв мания
18:30	Игри на съдбата - тв игра
19:00	Ах, тези муцуни!
19:50	Лека нощ, деца!: "Пъргавелчетата във ваканция"/7 епизод/
20:00	По света и у нас
20:30	Кинопарад: "Заредено оръжие" - игрален филм /САЩ, 1993 г./, режисьор Джин Куинтано, в ролите: Емилио Естевез, Самюъл Джаксън, Джон Ловиц и др.
22:00	Вили Казасян шоу бенд
22:30	Клуб НЛО"
23:20	По света и у нас
23:35	Концерт на "Бекстрийт Бойс"
00:35	Сен-но рикю - майсторът на чайната церемония - игрален филм /Япония/, режисьор Кумай Кей, в ролите: Окуда Ейджи, Ашида Шинсуке, Тоширо Мифуне и др.
02:25	Видеоклипове
02:40	Страсти под слънцето - тв филм /92 епизод/
03:30	Япония днес - научнопопулярен филм
03:45	Видеоклипове на Ален Башунг
04:30	Куче и котка - игрален филм /Франция/, 2 епизод
06:15	Бах 2000: Изпълнения на "Джърман брас"
06:45	Дързост и красота - тв филм /397 епизод/
