# 2000-05-08 TV Schedule for Ефир 2
time	title
17:55	По света и у нас
18:05	Квазимодо - анимационен филм /6 епизод/
18:30	Риск печели, риск губи- шоу на Къци Вапцаров
19:00	Съкровищата на света - документална поредица
19:15	Дързост и красота - сериен тв филм /270 епизод/
20:00	Пътят е през сърцето - тв филм за Средношколския хор при Природоматематическата гимназия - Монтана /РТВЦ - Благоевград/
20:25	Видеоклипове на "Де Ла Соул"
20:45	Дивият свят на Америка - научнопопулярен филм /5 епизод/
22:00	По света и у нас
22:10	Топспорт
22:15	Далеч от очите - игрален филм /Франция/, 1 серия, режисьор Кристиан Фор, в ролите: Вероник Жано, Кристиан Брендел и др.
