# 2000-05-08 TV Schedule for Канал 1
time	title
06:30	Сутрешен блок
09:00	Отдаденост - сериен тв филм /12 епизод/
09:55	Щастието на живота /6 епизод/
10:00	Нарисувай ми овца
10:30	Курс по английски език "Гледай напред" /33 урок/
11:00	Детски свят: "Улица "Сезам"
12:00	Народно творчество: "Песни през сълзи" - рецитал на Димитрина Кунева
12:30	По света и у нас
12:40	Кадрил - игрален филм /Русия/, режисьор Виктор Титов, в ролите: Станислав Любшин, Любов Полишчук, Олег Табаков и др.
14:05	Необяснимото - предаване за паранормалните явления
14:35	Курс по английски език "Гледай напред" /57 урок/
15:00	По света и у нас
15:05	Светът на чудесата - документална поредица
15:35	Музика и ритуал
15:50	Очи в очи с животните
16:05	Отдаденост- сериен тв филм /14 епизод/
17:00	По света и у нас
17:10	Детски свят: "Само за ученици ли...?"
17:40	Вкусно
17:55	Частен случай
18:00	Всички обичат Реймънд - сериен тв филм /31 епизод/
18:30	Заедно: "Пространства"
19:00	Шампионска лига
19:50	Лека нощ, деца!: "Коки" /7 епизод/
20:00	По света и у нас
20:30	Киноцентърът представя: "Понеделник 8 1/2" и "Осъдени души" - игрален филм /България, 1975 г./, режисьор Въло Радев, в ролите: Едит Салай, Ян Енглерт, Руси Чанев, Румен Костадинов, Мариана Димитрова и др.
23:00	Футболна Европа
00:00	По света и у нас
00:10	Операция Спасение" - игрален филм /САЩ, 1986 г./, режисьор Джон Майърс, в ролите: Невин Хедли, Гасан Джон Стефан, Барбра Корлет и др.
01:35	Дивият свят на Америка- научнопопулярен филм /5 епизод/
02:05	Видеоклипове
02:15	Далеч от очите - игрален филм /Франция/, 1 серия
03:55	Видеоклипове на Джордж Майкъл
04:35	Светът на чудесата - документална поредица
05:00	Видеоклипове на Франсис Кабрел
05:45	Дързост и красота - сериен тв филм /197 епизод/
