# 2000-10-13 TV Schedule for Канал 1
time	title
06:30	Сутрешен блок
09:30	Всички обичат Реймънд (3 еп.)
10:00	Улица Сезам
11:00	Парламентарен контрол - пряко предаване от НС
12:30	По света и у нас
12:40	Парламентарен контрол - пряко предаване от НС
14:00	Чудото на българина
14:30	Език мой
14:45	Бродницкият национален парк
15:00	По света и у нас
15:05	Атлас: Гуилин - хълмове на вдъхновението
15:30	По вълните на музиката
15:50	Национален календар: Петковден
15:55	Катс и кучето (14 еп)
16:25	Празници на изкуствата "Аполония": Концерт на вокална фомрация "Юлангело"
17:00	По света и у нас
17:10	Новини на турски език
17:20	Дързост и красота - (373 еп)
18:00	Вкусно
18:10	Само за ученици ли
18:35	Часът на Уорнър
19:25	Европа
19:50	Лека нощ, деца!: Искам приказка (3 част)
20:00	По света и у нас
20:30	Панорама
21:30	Профайлър - 22 сериен тв филм от САЩ, 2 еп.
22:15	Джубокс
23:00	Американска дъщеря - игр. фил, (Русия 1995 г.)
00:35	По света и у нас
00:50	Клипове на Джанет Джексън
01:20	Неразкрити убийства - (16 еп)
02:05	24 квадрата - информационно киношоу
02:35	Видеоклипове на Де Ла Сол
03:00	Страсти под слънцето (58 еп)
03:50	Американска дъщеря - игр. фил, (Русия 1995 г.)
05:25	Всички обичат Реймънд (3 еп.)
05:50	Видеоклипове на Uitni H\styn
06:31	Дързост и красота - (363 еп.)
