# 2000-06-14 TV Schedule for Канал 1
time	title
06:30	Сутрешен блок
09:00	Дързост и красота - сериен тв филм /291 епизод/
09:45	Детски свят: "Големият лов на Нанук" /25 епизод/, "Квазимодо" /2 епизод/ и "Щастието на живота" /16 епизод/- анимационни филми
10:40	Британски фонд за техническо развитие - научнопулярен филм
11:10	Пътешествия: Токио
12:00	Народно творчество: "Фолклорна дъга"
12:30	По света и у нас
12:40	Специализирано предаване за хора с увреден слух
13:00	Спешно отделение - сериен тв филм /37 епизод/
13:45	Профили
14:00	Дебюти
14:30	Курс по английски език "Гледай напред!" /44 урок/
15:00	По света и у нас
15:05	Дивият свят на Америка - научнопопулярен филм /24 епизод/
15:35	Нарисувай ми овца!
16:00	Дързост и красота - сериен тв филм /293 епизод/
17:00	По света и у нас
17:10	Детски свят: "Огледалната стая"
17:40	Вкусно
18:00	Всички обичат Реймънд - сериен тв филм /45 епизод/
18:25	Частен случай
18:30	Въпроси и отговори
19:00	Зад оградата - сериен тв филм /44 епизод/
19:50	Лека нощ, деца!: "Гугулиада"
20:00	По света и у нас
20:30	Спешно отделение - сериен тв филм /38 епизод/
21:30	Европейско първенство по футбол: Италия - Белгия, пряко предаване от Брюксел
00:00	По света и у нас
00:15	Техно
00:45	Защо? - игрален филм /Русия/, режисьор Йежи Кавалерович, в ролите: Магдалена Буйчик, Емилия Краковска, Дорота Садовска, Степан Старчиков и др.
02:30	Видеоклипове на Аксел Ред
03:00	Дизайнери за целия свят - научнопопулярен филм
03:30	Моден свят
04:00	Дебюти
04:30	Дивият свят на Америка - научнопопулярен филм /24 епизод/
05:00	Видеоклипове на "Лафер Луис трио"
05:45	Доктор Куин - лечителката - сериен тв филм /9 епизод/
