# 1994-07-21 TV Schedule for Канал 1
time	title
17:30	По света и у нас
17:35	Чудните години - сериен тв филм (X епизод)
18:00	Боманоар - тв филм (II епизод)
18:25	Детски свят: "Летящата къща" - анимационен филм (XXVIII епизод)
18:55	Минаха години
19:25	Тв справочник
19:45	Лека нощ деца!: "Лиза и Паул" - аним. филм (XV еп.)
20:00	По света и у нас
20:30	Спортни новини
20:40	Отзвук
21:15	Бар Наздраве - (XIII еп.)
21:45	Плюс-минус
22:45	Любимец 80 - творчески портрет на актьора Пенчо Петров
23:10	По света и у нас
23:20	Дуетите на Арита Франклин
