# 1983-07-24 TV Schedule for Първа програма
time	title
09:00	Бразди,
10:10	Неделно детско утро: "Внимание, карт!"
10:55	Седем дни с "Детски екран"
11:10	Кинопанорама: Петър Василев - Милевин
11:50	Музикален преглед
12:10	ЛИК
12:30	Информационен дневник
13:00	Телевизията представя
13:30	"Нана" Френски тв филм (V епизод)
14:25	Дружба: "Спектър"
14:50	Атлас: "Европеецът" (ХІІ серия)
15:25	"Малка къща в прерията" - детски игрален филм (IV серия)
16:15	Спартакиада на народите на СССР (репортаж)
17:10	Хумор: Дръж се, земьо!
17:30	Всяка неделя (събеседник по желание комбайнерът Живко Топалов - два пъти герой на социалистическия труд)
19:50	Лека нощ, деца!
20:00	По света и у нас
20:30	"Нана" - френски тв филм (VI епизод)
21:30	БТ за Интервизия: ХІ международен балетен конкурс "Варна'83" - заключителен концерт на лауреатите директно предаване
23:30	В края на деня
