# 2000-03-04 TV Schedule for Ефир 2
time	title
17:55	По света и у нас
18:05	Грозното пате - анимационен филм /42 епизод/
18:30	Палавници - тв игра
19:00	Полицайката фотомодел - игрален филм /САЩ/, режисьор Реза Бадийи, в ролите: Мелъди Андерсън, Ед Маринаро и др.
20:35	Зимни ескизи, с участието на Роси Кирилова, Панайот Панайотов, Михаил Йончев и др.
21:10	Клуб НЛО"
22:00	По света и у нас
22:10	Топспорт
22:15	Великата илюзия: "Трамвай "Желание" - игрален филм /САЩ/, І част, режисьор Глен Джордан, в ролите: Джесика Ланг, Алек Болдуин, Джон Гудман и др.
23:35	Интеграл: видеоклипове на Марк Лавоан /ІІ част/
00:00	Край на програмата
