# 2000-11-23 TV Schedule for Канал 1
time	title
06:30	Сутрешен блок
09:30	Телепазарен прозорец
09:45	Всички обичат Реймънд - тв филм /29 епизод/
10:15	Детски свят: Здравей
10:45	Райска градина - предаване за личното стопанство
11:15	Завещанието - тв филм /5 епизод/
12:00	Народно творчество: "Плетеница" - РТВЦ Пловдив
12:30	По света и у нас
12:40	Човешка комедия
13:00	Отдаденост - тв филм /52 епизод/
14:00	Третият сектор: Мисията възможна
14:30	Екокамера
15:00	По света и у нас
15:05	Телепазарен прозорец
15:20	Из залите на Националния исторически музей
15:35	Векът на България: 1950г.
15:45	По вълните на музиката
16:05	Клиника на третия етаж - тв филм /10 епизод/
16:35	Детски свят: "Войната на зверовете" - анимационен филм /49 епизод/
17:00	По света и у нас
17:10	Новини на турски език
17:20	Дързост и красота - тв филм /401 епизод/
18:05	Вкусно
18:15	Теглене тиражите на ТОТО 2
18:25	Частен случай
18:30	Здраве
19:00	Завещанието - тв филм /6 епизод/
19:50	Лека нощ, деца!: "Пъстра броеница"
20:00	По света и у нас
20:35	Годините под знака на Бардо - документален филм
21:25	Далекоглед
21:30	Седмица
22:00	Екип 4
22:30	24 квадрата - информационно киношоу
23:00	Недосегаемите - тв филм /19 епизод/
00:00	По света и у нас
00:15	1002 нощи
01:15	Дъщерите на винаря - сериен тв филм /5 и 6 епизод/
03:15	По вълните на музиката
03:40	Страсти под слънцето - тв филм /97 епизод/
04:35	Видеоклипове на Оейзис
05:20	Всички обичат Реймънд - тв филм /29 епизод/
05:45	Дързост и красота - тв филм /401 епизод/
