# 1990-07-20 TV Schedule for Първа програма
time	title
10:00	Новини
10:10	Детски свят
10:55	Блага ракия - концерт народна музика
11:30	Търговски кораби "Онегин" - тв филм III еп.
12:30	Новини
17:50	Новини
18:00	Детски свят
18:25	Телевизионно тото "5 от 35"
19:10	Тв справочник
19:20	Екология
19:50	Лека нощ деца!
20:00	По света и у нас
20:30	Семейство Флинстоун - анимац. филм
21:45	"Де Гол - вечното предизвикателство" док. филм VI еп.
22:35	Новини. Изберете
22:50	Влюбеният с пантофите - епизод от тв поредицата "Докторчето", Франция
