# 1999-04-30 TV Schedule for Канал 1
time	title
06:45	Тв пазар
07:00	Точно в 7
10:00	По света и у нас
10:05	Училище за манекени - сериен тв филм /97 и 98 еп./
11:00	Парламентарен контрол
12:30	По света и у нас
12:40	Парламентарен контрол
14:00	Народно творчество: "Пъстър хоровод"
14:30	Видения от дълбините и "Авиоакробатика" - научнопопулярни филми
15:00	По света и у нас
15:05	Попкласика
15:25	Курс по бизнес немски език /9 еп./
15:50	Профили
16:05	Училище за манекени - сериен тв филм /99 и 100 еп./
17:00	По света и у нас
17:10	Детски свят: "Доктор Злобюл" - анимационен филм /42 еп./
17:40	Вкусно
17:55	Гол плюс
18:00	Риск печели, риск губи - шоу на Къци Вапцаров
18:30	Дързост и красота - сериен тв филм /113 еп./
19:20	Въпроси и отговори
19:40	Частен случай
19:45	Тв справочник
19:50	Лека нощ, деца!: "Новите приключения на Пимпа" /5 еп./
20:00	По света и у нас
20:30	Панорама
21:30	Котки - мюзикъл /Англия/, музика Ендрю Лойд Уебър, хореография Джилиан Лин, режисьор Дейвид Молет, в ролите: Илейн Пейдж, Джон Милс, Кен Пейдж и др.
23:25	По света и у нас
23:35	КакАфония
00:15	Досиетата Х" - сериен тв филм /43 еп./
01:00	1002 нощи
