# 2000-05-16 TV Schedule for Ефир 2
time	title
17:55	По света и у нас
18:05	Квазимодо - анимационен филм /10 епизод/
18:30	Риск печели, риск губи - шоу на Къци Вапцаров
19:00	Съкровищата на света - документална поредица
19:15	Дързост и красота - сериен тв филм /277 епизод/
20:00	Магията на киното /24 епизод/
20:30	Дивият свят на Америка - научнопопулярен филм /10 епизод/
21:00	Кречетало
21:30	Хората около нас - документален филм /І част/
22:00	По света и у нас
22:10	Топспорт
22:15	Под охрана - игрален филм /Италия/, режисьор Алесандро ди Робилант, в ролите: Анхела Молина, Анджело Инфанти, Джулио Скарпати и др.
23:50	Край на програмата
