# 2000-05-16 TV Schedule for Канал 1
time	title
06:30	Сутрешен блок
09:00	Отдаденост - сериен тв филм /18 епизод/
09:55	Детски свят: "Дневникът" и "Щастието на живота" /10 епизод/
10:30	Език мой
10:45	Курс по немски език /І урок/
11:05	Зад оградата - сериен тв филм /36 епизод/
12:00	Народно творчество: "Ах, този фолк!"
12:30	По света и у нас
17:00	По света и у нас
17:10	Детски свят: "Сламено сираче" - тв филм /България/, І епизод, режисьор Станислава Калчева, в ролите: Богослав Ангелоев, Мария Каварджикова, Марин Янев, Христо Чешмеджиев, Стефка Янорова, Васил Димитров и др.
17:40	Вкусно
17:55	Частен случай
18:00	За вас, потребители
18:30	Законът и ние
19:00	Зад оградата - сериен тв филм /37 епизод/
19:50	Лека нощ, деца!: "Приказки оттук и там" /2 епизод/
20:00	По света и у нас
20:30	Спешно отделение - сериен тв филм /28 епизод/
21:30	Кръгове
22:00	Екип 4
22:30	Кречетало
23:00	Крадецът си е крадец - сериен тв филм /ІІ епизод/
00:00	По света и у нас
00:10	Джаз тайм
00:50	Задният двор - игрален филм /Франция/, І епизод
02:25	Дивият свят на Америка /10 епизод/
03:00	Видеоклипове на Мишел Жонас
03:30	Под охрана - игрален филм /Италия/
05:00	Видеоклипове на "ТОТО"
05:45	Дързост и красота - сериен тв филм /203 епизод/
