# 2000-03-05 TV Schedule for Канал 1
time	title
07:15	Телепазарен прозорец
07:30	Чай
10:00	По примера на светостта - документален филм
10:25	Детски свят: "Спукано гърне" и "Неделно междучасие"
11:25	Неделно здраве
11:35	Един век песни: "Идолите" /ІІІ част/
12:30	По света и у нас
12:40	Бразди
13:10	Минаха години
13:40	Палавници - тв игра
14:10	Божи кравички - игрален филм /САЩ/, режисьор Сидни Фюри, в ролите: Родни Дейнджърфилд, Жаки, Джонатан Брандис, Винеса Шоу, Том Паркс и др.
15:35	Началото - концерт на Борислав и Христо Йоцови
16:30	Бригита - живот като пасианс
17:00	По света и у нас
17:10	Уолт Дисни представя...
18:00	Гласове
18:50	Теглене тиражите на ТОТО 2 и "Планета "Спорт"
19:50	Лека нощ, деца!: "Мечето Боян" /27 епизод/
20:00	По света и у нас
20:30	Неделна киновечер: "Всички мъже лъжат" - игрален филм /Франция/, режисьор Ален Вермюс, в ролите: Дидие Безас, Мари Бюнел и др.
21:50	Мозайка
22:20	Концерт на Йълдъз Ибрахимова
23:20	Магията на киното /4 епизод/
23:50	По света и у нас
00:05	Клубно парти с...
00:45	Човекът с желязната маска - игрален филм /САЩ/
02:35	Божи кравички - игрален филм /САЩ/
04:00	Интеграл: видеоклипове на Милен Фармер /ІІ част/
04:30	Трамвай Желание" - игрален филм /САЩ/, ІІ част
05:45	Дързост и красота - сериен тв филм /154 епизод/
