# 1965-12-27 TV Schedule for Първа програма
# source: https://www.predavatel.com/bg/istoriya/
time	title
18:10	Курс по немски език
18:40	За децата
19:20	Светлини на петилатката
20:00	По света и у нас
20:20	Спорт
20:30	"Вярност" - от Джон Голдуърти, английски филм спектакъл
21:45	Беседа на председателя на Държавния планов комитет Апостол Пашев за изпълнението на годишния план и основните показатели в плана за 1968 година
