# 1998-11-25 TV Schedule for Ефир 2
time	title
17:25	Празничен календар: "Св. Климент Охридски"
17:30	Европейско първенство по баскетбол: България - Германия, пряко предаване от Бургас. В паузата: "Днес"
19:30	Риск печели, риск губи
19:55	Гол плюс
20:00	Суперскорости
20:30	Сцена
21:00	Поглед в бъдещето
21:30	Звезди в Ефира
22:00	Днес
22:10	Топспорт
22:15	Частен случай
22:20	ТВ справочник 2
22:30	Плътта на дявола - тв сериен филм, 7 епизод /Италия/
23:25	Три пантомими - етюди по хореография на Патрик Ноле
