# 1998-11-25 TV Schedule for Канал 1
time	title
06:55	Тв пазар
07:00	Точно в 7
12:30	По света и у нас
12:40	Тв пазар
16:35	Тв пазар
17:00	По света и у нас
17:10	От обич - сериен тв филм
18:00	110 години СУ "Климент Охридски" - пряко предаване от Народния театър "Иван Вазов"
19:00	Преди новините
19:15	Вкусно
19:25	Тв справочник
19:50	Лека нощ, деца!
20:00	По света и у нас
20:30	Спешно отделение - сериен тв филм /64 епизод/
21:35	Шампионска лига: "Интер" - "Реал" /М/, пряко предаване от Милано
23:35	Екип 4
00:05	Шампионска лига: "Спартак" /Москва/ - "Щурм" /Австрия/, репортаж
00:25	Тв пазар
