# 2000-11-21 TV Schedule for Канал 1
time	title
06:30	Сутрешен блок
09:30	Телепазарен прозорец
09:45	Национален календар: Въведение Богородично
09:50	Всички обичат Реймънд - тв филм /27 епизод/
10:15	Детски свят: "Войната на зверовете" - анимационен филм /43 епизод/
10:40	Курс по немски език /4 урок/
11:10	Аз съм такава, каквато съм /Жулиет Греко/
12:00	Народно творчество: "От дума на дума"
12:30	По света и у нас
12:40	Адрес 4000
13:10	Духът на баща ми - игрален филм /България/, режисьор Дочо Боджаков, в ролите: Параскева Джукелова, Стоян Алексиев, Йоан Делчев, Николай Сотиров, Мария Сапунджиева
14:30	Курс по немски език /5 урок/
15:00	По света и у нас
15:05	Телепазарен прозорец
15:20	От и за Великобритания
15:40	Внимание - деца!
16:05	Клиника на третия етаж - тв филм /8 епизод/
16:35	Детски свят: Защо
17:00	По света и у нас
17:10	Новини на турски език
17:20	Дързост и красота - тв филм /399 епизод/
18:05	Вкусно
18:25	Частен случай
18:30	Открито
19:00	Корени в бъдещето - концерт по случай Деня на християнското семейство, пряко предаване от зала "Св.София"
19:50	Лека нощ, деца!: "Пъстра броеница"
20:00	По света и у нас
20:30	Видеопарад - пряко предаване от дискотека "Ескейп"
22:25	Далекоглед
22:30	Екип 4
23:00	Недосегаемите - тв филм /17 епизод/
00:00	По света и у нас
00:15	Джаз тайм
00:55	Дъщерите на винаря - 6-сериен тв филм /Франция/, 1 и 2 епизод
02:55	Джубокс
03:40	Страсти под слънцето - тв филм /95 епизод/
04:35	От и за Великобритания
04:55	Видеоклипове на Корс
05:20	Всички обичат Реймънд - тв филм /27 епизод/
05:45	Дързост и красота - тв филм /399 епизод/
