# 1982-11-12 TV Schedule for Първа програма
time	title
10:00	Новини
10:20	Шопен: Соната в си бемол минор
10:30	Златните пантофки - детски телевизионен филм (I серия)
11:35	Симфоничен концерт
12:30	Информационен дневник
16:45	Камерен концерт
17:30	Новини
17:40	Реквием от Волфганг Амадеус Моцарт
18:45	Аз съм пионер - Предаване за децата
19:00	Малката земя - съветски документален филм
19:50	Лека нощ, деца!
20:00	Време - информационна програма на Централната съветска телевизия
21:00	Новини
21:10	Как се каляваше стоманата - съветски теливизионен филм (V серия)
22:15	Симфоничен концерт
22:30	В края на деня - информационна емисия
