# 2000-05-21 TV Schedule for Канал 1
time	title
07:15	Телепазарен прозорец
07:30	Детски свят: "Големият лов на Нанук" - анимационен филм /10 епизод/
08:00	Чай
10:30	Детски свят: "Бон-бон" и "Неделно междучасие"
11:30	Неделно здраве
11:40	Обеден концерт: Интегрално изпълнение на квартетите на Бетовен, с участието на квартет "Димов"
12:30	По света и у нас
12:40	Бразди
13:10	Минаха години
13:40	Национален календар: "Св.Св. Константин и Елена"
13:45	В начало беше Словото
14:15	Минута е много - тв състезание
14:45	България и САЩ - партньорство за ХХI век - тв филм /ІІ част/
15:15	Светът на чудесата - документална поредица
15:40	Ромски ритми
16:10	Като лъвовете - детско тв шоу
17:00	По света и у нас
17:10	Уолт Дисни представя...
18:00	Теглене тиражите на ТОТО 2 и "Планета "Спорт"
19:00	Гласове
19:50	Лека нощ, деца!: "Приказки оттук и там" /7 епизод/
20:00	По света и у нас
20:30	Неделна киновечер: "Папараци" - игрален филм /Франция, 1998г./, режисьор Ален Берберян, в ролите: Патрик Тимсит, Венсан Лендон, Катрин Фро и др
22:20	Футбол плюс: "Дерби от Европа"
00:10	По света и у нас
00:25	Мода за всички
00:55	Видеоклипове на Джордж Майкъл
01:30	Не и моето дете - игрален филм /САЩ/
03:05	Хората около нас - документален филм /ІІ част/
03:35	Папараци - игрален филм /Франция/
05:25	Звезди на кънтримузиката
05:45	Дързост и красота - сериен тв филм /206 епизод/
