# 2000-05-21 TV Schedule for Ефир 2
time	title
15:45	Футбол: "Славия" - "Левски" и "ЦСКА" - "Локомотив"/Сф/ - пряко комбинирано предаване на срещите от "А"ПФГ от стадионите "Славия" и "Българска армия" /в паузата: ХХХI Международно рали "Албена" - пряко предаване на финала/
18:00	По света и у нас
18:10	Квазимодо - анимационен филм /12 епизод/
18:40	Монограмът - сериен тв филм /5 епизод/
19:30	Европейско първенство по бокс: Финали /репортаж/
21:05	Магията на киното /28 епизод/
21:30	Дивият свят на Америка - научнопопулярен филм /12 епизод/
22:00	По света и у нас
22:10	Топспорт
22:20	NBA - професионален баскетбол от САЩ
23:20	Не и моето дете - игрален филм /САЩ/, режисьор Майкъл Тъкнър, в ролите: Джордж Сигал, Стокарт Чанинг, Вивека Дейвис и др.
01:00	Край на програмата
