# 2000-05-10 TV Schedule for Ефир 2
time	title
17:00	Баскетбол: Финална среща от Републиканското първенство /жени/ - пряко предаване В паузата: По света и у нас
18:30	Риск печели, риск губи- шоу на Къци Вапцаров
19:00	Съкровищата на света - документална поредица
19:15	Дързост и красота - сериен тв филм /272 епизод/
20:00	Магията на киното /17 епизод/
20:25	Дивият свят на Америка - научнопопулярен филм /6 епизод/
20:55	Видеоклипове на Род Стюарт
22:00	По света и у нас
22:10	Топспорт
22:15	Кадрил - игрален филм /Русия/, режисьор Виктор Титов, в ролите: Станислав Любшин, Любов Полишчук, Олег Табаков и др.
