# 2000-05-10 TV Schedule for Канал 1
time	title
06:30	Сутрешен блок
09:00	Национален календар: "160 години от рождението на Хаджи Димитър и Стефан Караджа"
09:05	Отдаденост - сериен тв филм /14 епизод/
10:00	Детски свят: "Големият лов на Нанук"- анимационен филм /4 епизод/
10:30	Курс по английски език "Гледай напред" /35 урок/
11:00	Зад оградата - сериен тв филм /34 епизод/
12:00	Народно творчество: Рецитал на Таня и Стоян Величкови
12:30	По света и у нас
12:40	Специализирано предаване за хора с увреден слух
13:00	Съкровищата на света
13:15	Спешно отделение - сериен тв филм /24 епизод/
14:00	Композиторът Георги Генков
14:30	Курс по английски език "Гледай напред" /58 урок/
15:00	По света и у нас
15:05	Светът на чудесата - документална поредица
15:35	Ретро Русе, ретро свят
16:05	Отдаденост- сериен тв филм /16 епизод/
17:00	По света и у нас
17:10	Детски свят: "Защо"
17:40	Вкусно
17:55	Частен случай
18:00	Всички обичат Реймънд - сериен тв филм /32 епизод/
18:30	Въпроси и отговори
19:00	Зад оградата - сериен тв филм /36 епизод/
19:50	Лека нощ, деца!: "Гугулиада"
20:00	По света и у нас
20:30	Спешно отделение - сериен тв филм /26 епизод/
21:15	Българският Великден - документален филм
21:40	Шампионска лига: "Барселона" - "Валенсия", полуфинална среща /пряко предаване от Барселона/
23:35	Метрополис
00:05	По света и у нас
00:15	Всичко отначало - игрален филм /Германия, 1994 г./, режисьор Райнхард Мюнстер, в ролите: Кристиане Хьорбигер, Катарина Талбах, Удо Замел и др.
01:40	Видеоклипове на Джордж Майкъл
02:35	Дивият свят на Америка- научнопопулярен филм /6 епизод/
03:05	Кадрил - игрален филм /Русия/
04:30	Светът на чудесата - документална поредица
05:00	Видеоклипове на "Лафер Луис трио"
05:45	Дързост и красота - сериен тв филм /199 епизод/
