# 1998-11-24 TV Schedule for Канал 1
time	title
06:55	Тв пазар
07:00	Точно в 7
12:30	По света и у нас
12:40	Тв пазар
16:35	Тв пазар
17:00	По света и у нас
17:10	От обич - сериен тв филм
18:05	Без думи - тв състезание
18:35	Детски свят
19:00	Екокамера
19:15	Вкусно
19:25	Тв справочник
19:50	Лека нощ, деца!
20:00	По света и у нас
20:30	Спешно отделение - сериен тв филм /63 епизод/
21:25	Природата в нас
22:00	Мода за всички
22:30	Екип 4
23:00	Спасители на плажа - сериен тв филм /47 епизод/
23:50	По света и у нас
00:00	Тв пазар
