# 1999-09-14 TV Schedule for Ефир 2
time	title
17:30	Празничен календар: Въздвижение на светия Кръст Господен /Кръстовден/
17:35	Сладката Канди-2 еп.
18:00	Днес
18:10	Виляриба, Вилябахо-12 еп
19:00	Тютюнът /РТВЦ-Благоевград/
19:30	Риск печели, риск губи
19:55	Гол плюс
20:00	Футбол: Най-висшата лига
20:30	Най-доброто от _Как ще ги стигнем с...Тодор Колев
21:30	Адрес 4000
22:00	Днес +
22:25	Топспорт
22:30	Частен случай
22:35	ТВ справочник 2
22:45	Международен театрален фестивал Сцена на кръстопът -Пловдив ’98 /дневник/
23:00	Солният барон-сериен тв филм /Германия, Австрия, Италия/
