# 1989-04-22 TV Schedule for Първа програма
time	title
08:30	Добро утро - информационно-музикално предаване
10:00	За децата: Историята, която трябваше да се случи" - драматиза ция (III серия). "Призраци отвъд" филм (VII епизод), "Ужасът и птиците" - тв филм.
11:25	"Октопод" тв филм (Италия), трети филм, III епизод
12:30	Днес
12:40	Времена и хора: "Кръстопътна земя" - първо предаване цикъла Човек народност нация
13:30	Естеството на нещата: Музиката на човека" (II епизод)
14:25	"В света на изкуството": Леонардо да Винчи
15:20	Тв реклама представя ...
15:30	Музикална дъга
15:50	Вариант М
16:50	Днес
17:00	Срещи Лик: Лили Иванова
18:00	"За властта на Съветите" документален филм
18:30	"Истината" - тв филм за юноши.
19:20	Призраци отвъд детски тв филм (VIII епизод)
19:50	Лека нощ, деца!: На гости
20:00	Панорама
21:00	Алф тв филм (VIII епизод)
21:25	"Октопод" седемсериен тв филм (Италия), трети филм първо изльчване, с надписи
22:30	Изберете
22:35	"Опера престо" анимационен филм (VIII епизод).
22:45	В края на деня
23:10	Студио Х: "Лесен случай" игрален филм (Унгария). peжисьор Ищван Лауро Бачкай в ролите: Дьорд Чорхалми, Енкьо Есени. Ласло Дожа. Атила Льоте др. първо излъчване с надписи
