# 2000-11-25 TV Schedule for Канал 1
time	title
07:15	Телепазарен прозорец
07:30	Специализирано предаване за хора с увреден слух
07:50	Силни тела
08:00	Добро утро
10:30	Детски свят: "Палавници" - тв игра и "Ала-бала"
11:30	История на френския джаз /І част/
12:30	По света и у нас
12:40	Райска градина - предаване за личното стопанство
13:10	Ах, този фолк!
13:40	България днес: Търговище
14:10	Супермотор спорт
14:40	Чутовният архитектон - филм по случай 200-годишнината от рождението на Кольо Фичето
15:10	Суматоха
16:00	Мрежата
16:30	Класация на Мело тв мания
16:50	По света и у нас
17:00	Игри на съдбата - тв игра
17:30	Баскетбол: България - Финландия /мъже/, квалификационна среща за Европейското първенство - пряко предаване от Разград
19:00	Ах, тези муцуни
19:50	Лека нощ, деца!: "Пъстра броеница"
20:00	По света и у нас
20:30	Кинопарад: "Корина, Корина" - игрален филм /САЩ,1994г./, режисьор Джеси Нелсън, в ролите: Упи Голбърг, Рей Лиота, Тина Маджориано, Дон Амичи и др.
22:30	Каналето
23:20	Форте - българският Топ 20
00:10	По света и у нас
00:25	Отвъд морето - игрален филм /Франция/, режисьор Доминик Кабрера, в ролите: Клод Брасьор, Рошди Зем, Март Вилалонга и др.
03:00	Звезди на кънтри музиката
03:25	Страсти под слънцето - тв филм /99 епизод/
04:20	Куче и котка - игрален филм /Франция/, 3 епизод
06:00	Видеоклипове на Ниагара
06:45	Рицарите на слоновата кост - документален филм
