# 1989-01-14 TV Schedule for Втора програма
time	title
16:15	Музикална миниатюра: "Мубава си, моя горо"
16:20	Театрални меридиани: "Суфльорката и други едноактни пиеси" от Руди Шрал - спектакъл на Телевизията на ГДР, режисьор - Роланд Оеме, в ролите: Кете Райхел, Фред Делмаре, Дитер Монтаг и др., първо излъчване
17:45	Декемврийски музикални вечери
18:40	Днес
18:50	София - публицистично предаване
19:30	Култура: Време за театър
20:00	Художествена самодейност: "Студентска среща"
20:40	Минути за свободното време"
21:10	Избрано от фонда на БТ: "Снежни пиеси" - забавно-музикално предаване;
