# 1989-01-14 TV Schedule for Първа програма
time	title
08:30	Добро утро - информационно музикално предаване
10:30	Изберете
10:35	Приключенията на тримата ветерани - детски игрален филм
12:10	Искри от манежа - забавно предаване
12:30	Днес
12:40	Естеството на нещата: "Седмият континент" - научнопопулярен филм (IX епизод)
13:10	Тв реклама представя: Завод "Република" - Своге
13:20	Ски: Спускане (мъже) - сустезания за световната купа - пряко предаване от Кицбрюел (Австрия)
14:15	Тв реклама представя: ТК "Тунджа" - Ямбол
14:30	В света на изкуството "Вълшебните звуци - история на симфонията" (II епизод)
16:00	Вариант - младежко предаване
17:00	Днес
17:10	С песните на Славка Калчева - концерт народна музика
17:35	На гости на Ново село - публицистично предаване
18:00	Срещи ЛИК: Ясен Антов
19:00	История на света - театър на сенките по музика на И. Стравински
19:25	Ферди мравката - детски анимационен филм (XII епизод)
19:50	Лека нощ, деца!
20:00	Панорама
21:00	Силнодейструващо лекарство - четирисериен тв филм (САЩ, 1966г.), I епизод, режисьор - Гай Грийн, в ролите Бен Крос, Патрик Дъфи, Дъглас Феърбанск - син и др. първо излъчване
21:50	Изберете
21:55	Декамерон - анимационен филм (II епизод) и "Алф" - анимационен филм (I епизод)
22:20	В края на деня
22:50	Студио X - "Звездоброй" - трисериен тв филм (СССР) (I серия), режисьор Анатолий Тютюник, в ролите: Албина Матвеева, Игор Ледогоров, Сергей Юрски и др., с надписи, първо излъчване
