# 1997-12-27 TV Schedule for Канал 1
time	title
08:30	Добро утро
10:30	Стълбица към небето
10:45	Детски свят
11:45	Корени
12:05	Европа
12:20	По света и у нас
12:40	Вкусно
12:50	Народна музика: "Голямият род"
13:30	Ключ
14:00	Аз не говори английски - игрален филм, Италия
15:30	Микс Макс (Рапвидео)
16:00	Стефка Костадинова, док. филм
16:30	Обзор (култура)
17:00	По света и у нас
17:10	Оперетна музика
18:00	Монополи
18:50	Часът на Дисни
19:45	Лека нощ, деца!
20:00	По света и у нас
20:20	Фокс-киномания: Сам в къщи, игрален филм САЩ
22:05	КакАфония - честитки
23:00	По света и у нас
23:15	Киномания
