# 1981-12-20 TV Schedule for Първа програма
time	title
09:45	Неделно детско утро
10:30	X международен турнир по тенис (финал) предаване от зала "Христо Ботев"
12:30	Информационен дневник
12:55	Ски за световната купа (спискане - мъже) - директно предаване от Кранс Монтана (Швейцария)
13:30	Телевизията представя
14:00	"Най-добрият човек когото познавам" - български игрален филм
15:30	"Младите за младите" - документално публицистично предаване
17:30	Всяка неделя
19:50	Лека нощ деца
20:00	По света и у нас
20:30	"Насрещно движение" - български игрален филм
22:00	Забавна програма
22:30	Новини
22:40	Дневник на X международен турнир по тенис
